full_date,year,quarter,month,month_name,week,day
2018-07-26,2018,3,7,July,30,26
2018-07-27,2018,3,7,July,30,27
2018-07-28,2018,3,7,July,30,28
2018-07-29,2018,3,7,July,30,29
2018-07-30,2018,3,7,July,31,30
2018-07-31,2018,3,7,July,31,31
2018-08-01,2018,3,8,August,31,1
2018-08-02,2018,3,8,August,31,2
2018-08-03,2018,3,8,August,31,3
2018-08-04,2018,3,8,August,31,4
2018-08-05,2018,3,8,August,31,5
2018-08-06,2018,3,8,August,32,6
2018-08-07,2018,3,8,August,32,7
2018-08-08,2018,3,8,August,32,8
2018-08-09,2018,3,8,August,32,9
2018-08-10,2018,3,8,August,32,10
2018-08-11,2018,3,8,August,32,11
2018-08-12,2018,3,8,August,32,12
2018-08-13,2018,3,8,August,33,13
2018-08-14,2018,3,8,August,33,14
2018-08-15,2018,3,8,August,33,15
2018-08-16,2018,3,8,August,33,16
2018-08-17,2018,3,8,August,33,17
2018-08-18,2018,3,8,August,33,18
2018-08-19,2018,3,8,August,33,19
2018-08-20,2018,3,8,August,34,20
2018-08-21,2018,3,8,August,34,21
2018-08-22,2018,3,8,August,34,22
2018-08-23,2018,3,8,August,34,23
2018-08-24,2018,3,8,August,34,24
2018-08-25,2018,3,8,August,34,25
2018-08-26,2018,3,8,August,34,26
2018-08-27,2018,3,8,August,35,27
2018-08-28,2018,3,8,August,35,28
2018-08-29,2018,3,8,August,35,29
2018-08-30,2018,3,8,August,35,30
2018-08-31,2018,3,8,August,35,31
2018-09-03,2018,3,9,September,36,3
2018-09-06,2018,3,9,September,36,6
2018-09-10,2018,3,9,September,37,10
2018-09-11,2018,3,9,September,37,11
2018-09-12,2018,3,9,September,37,12
2018-09-13,2018,3,9,September,37,13
2018-09-17,2018,3,9,September,38,17
2018-09-20,2018,3,9,September,38,20
2018-09-25,2018,3,9,September,39,25
2018-09-26,2018,3,9,September,39,26
2018-09-29,2018,3,9,September,39,29
2018-10-01,2018,4,10,October,40,1
2018-10-03,2018,4,10,October,40,3
2018-10-16,2018,4,10,October,42,16
2018-10-17,2018,4,10,October,42,17
